key,value
code.javascript.dom.noTightDomCoupling,0
code.javascript.dom.noForcedSyncLayoutsInCode,0
code.javascript.dom.timerLeaksCount,0
code.javascript.dom.pollingWithoutObserverCount,0
code.javascript.dom.prefersNativeBrowserApis,1
code.javascript.dom.modernEs6SyntaxUsed,1
code.javascript.state.noMemoryLeakRisks,0
code.javascript.state.eventListenersCleanedUp,0
code.javascript.state.asyncAwaitUsed,1
code.javascript.state.promisesHandledCorrectly,1
code.javascript.state.stateMutationThroughSetters,0
code.javascript.state.noSharedStateMutation,0
code.javascript.state.noSideEffectsInPureFunctions,0
code.javascript.state.consistentReturnTypes,0
code.javascript.state.noStateMutationInLoops,0
code.javascript.structure.globalVariablesCount,0
code.javascript.structure.jsScopedToComponent,1
code.javascript.structure.codingStyleConsistent,1
code.javascript.structure.deeplyNestedCallbacksCount,0
code.javascript.structure.callChainDepthWithinLimit,0
code.javascript.structure.inputValidationPresent,0
code.javascript.structure.noUnreachableCode,1
code.javascript.structure.noEmptyCatchBlocks,0
code.javascript.structure.noUnusedNpmPackages,0
code.javascript.structure.noUnusedComponentProps,1
code.accessibility.wcag.wcag21AAComplianceMet,0
code.accessibility.wcag.dynamicContentChangesAnnounced,0
code.accessibility.components.modalDialogAriaCorrect,0
code.accessibility.components.videoCaptionsPresent,
code.accessibility.components.audioTranscriptsPresent,
code.accessibility.components.noFocusTrapMisuse,0
code.accessibility.css.visibleFocusStylesPresent,0
code.accessibility.css.hoverRulesHaveFocusEquivalent,0
code.accessibility.css.visuallyHiddenPatternCorrect,1
code.security.clientCode.noEvalOrFunctionString,1
code.security.clientCode.noDocumentWrite,1
code.security.clientCode.externalScriptsHaveSri,0
code.security.clientCode.noUnsanitizedInnerHtml,0
code.security.secrets.noHardcodedApiKeys,1
code.security.secrets.noCredentialsInUrls,1
code.security.secrets.noSensitiveDataInComments,1
code.security.secrets.noInsecureStorageForSecrets,0
code.security.secrets.noPiiInStorageWithoutConsent,0
code.security.dependencies.noKnownVulnerableDependencies,0
code.security.input.noSensitiveDataInClientVisibleAttributes,1
code.quality.hygiene.lintErrorsCount,57
code.quality.hygiene.unusedVariablesCount,0
code.quality.hygiene.unusedFunctionsCount,0
code.quality.hygiene.unusedImportsCount,0
code.quality.hygiene.deadCodePathsCount,0
code.quality.hygiene.deadCodeFilesCount,0
code.quality.hygiene.commentedOutCodeCount,0
code.quality.hygiene.implicitGlobalsCount,0
code.quality.hygiene.fileStructureConsistent,1
code.quality.hygiene.duplicateConstantsCount,0
code.quality.readability.variableNamingViolationsCount,2
code.quality.readability.functionNamingViolationsCount,0
code.quality.readability.namingConventionsConsistent,0
code.quality.readability.complexConditionsCount,0
code.quality.readability.missingGuardClausesCount,0
code.quality.readability.oversizedFilesOrFunctionsCount,500
code.quality.readability.singleResponsibilityViolationsCount,0
code.quality.readability.readmePresent,1
code.quality.reliability.inconsistentErrorHandlingCount,0
code.quality.reliability.poorErrorLoggingCount,0
code.quality.reliability.ungracefulErrorsCount,0
code.quality.reliability.magicNumbersCount,6
code.quality.reliability.uncentralizedConstantsCount,0
code.quality.reliability.hardcodedBehaviorCount,0
code.quality.reliability.duplicatedUtilitiesCount,0
code.quality.reliability.duplicateCodePercent,
code.quality.architecture.hardcodedEnvValuesCount,165753
code.quality.architecture.circularDependenciesCount,0
code.quality.architecture.staleTodoFixmeCount,0
code.governance.vcs.gitRepositoryInitialized,0
code.governance.vcs.gitignorePresent,0
code.governance.vcs.lockfileCommitted,1
code.governance.quality.preCommitHooksConfigured,0
code.governance.config.nodeVersionSpecified,0
code.governance.genai.noMockDataInProduction,0
manual.discovery.businessObjectivesAndKpisDefined,
manual.discovery.targetAudienceAndPersonasDefined,
manual.discovery.cdnProviderAndRepoIdentified,
manual.discovery.edsAuthoringAndContentRequirementsDefined,
manual.discovery.edsBlockRequirementsAndStructureDefined,
manual.discovery.integrationAndMarTechRequirementsDefined,
manual.discovery.nonFunctionalRequirementsDefined,
manual.discovery.seoRoutingAndLocalizationDefined,
manual.design.hldDocumented,
manual.design.blockAndFragmentDesignComplete,
manual.design.performanceByDesignGoalsDefined,
manual.design.responsiveAndAccessibilityStrategyDefined,
manual.design.seoAndErrorStrategyDesigned,
manual.setup.cdnConfigured,
manual.setup.repoAndContentSourceConfigured,
manual.setup.aemSidekickInstalledAndConfigured,
